case_id,company,category,complaint_type,conflict_type,expected_status,severity,source
CMP_00223,Myntra,Electronics,Customer Support,,CONSISTENT,MEDIUM,REAL_COMPLAINT
CMP_00224,Meesho,Footwear,Empty Box Delivery,WEIGHT_ANOMALY,CONFLICT,CRITICAL,REAL_COMPLAINT
CMP_00225,JioMart,Electronics,Counterfeit Product,IDENTITY_CONFLICT,CONFLICT,CRITICAL,REAL_COMPLAINT
CMP_00226,Amazon,Apparel/Clothing,Refund Delay,,CONSISTENT,HIGH,REAL_COMPLAINT
CMP_00227,Nykaa,Beauty/Personal Care,Counterfeit Product,IDENTITY_CONFLICT,CONFLICT,CRITICAL,REAL_COMPLAINT
CMP_00228,Ajio,Footwear,Pickup Failure,TEMPORAL_CONFLICT,CONFLICT,MEDIUM,REAL_COMPLAINT
CMP_00229,Myntra,Apparel/Clothing,Return Rejected,,CONSISTENT,HIGH,REAL_COMPLAINT
CMP_00230,Amazon,Other/Unspecified,COD Scam,,CONSISTENT,CRITICAL,REAL_COMPLAINT
CMP_00231,Myntra,Apparel/Clothing,Return Rejected,,CONSISTENT,HIGH,REAL_COMPLAINT
CMP_00232,Nykaa,Beauty/Personal Care,Counterfeit Product,IDENTITY_CONFLICT,CONFLICT,CRITICAL,REAL_COMPLAINT
CMP_00233,Nykaa,Apparel/Clothing,Replacement Rejected,IDENTITY_CONFLICT,CONFLICT,HIGH,REAL_COMPLAINT
CMP_00234,Nykaa,Footwear,Damaged Product,WEIGHT_ANOMALY,CONFLICT,HIGH,REAL_COMPLAINT
CMP_00235,Ajio,Other/Unspecified,Policy Issue,,CONSISTENT,MEDIUM,REAL_COMPLAINT
CMP_00236,Amazon,Beauty/Personal Care,Missing Items,,CONSISTENT,MEDIUM,REAL_COMPLAINT
CMP_00237,Shopify,Other/Unspecified,Lost Package,,CONSISTENT,CRITICAL,REAL_COMPLAINT
CMP_00238,Shopify,Apparel/Clothing,Seller Fraud,,CONSISTENT,CRITICAL,REAL_COMPLAINT
CMP_00239,Flipkart,Footwear,Replacement Rejected,IDENTITY_CONFLICT,CONFLICT,HIGH,REAL_COMPLAINT
CMP_00240,Amazon,Beauty/Personal Care,Missing Items,,CONSISTENT,MEDIUM,REAL_COMPLAINT
CMP_00241,Meesho,Footwear,Empty Box Delivery,WEIGHT_ANOMALY,CONFLICT,CRITICAL,REAL_COMPLAINT
CMP_00242,Flipkart,Apparel/Clothing,Counterfeit Product,IDENTITY_CONFLICT,CONFLICT,CRITICAL,REAL_COMPLAINT
CMP_00243,Nykaa,Footwear,Damaged Product,WEIGHT_ANOMALY,CONFLICT,HIGH,REAL_COMPLAINT
CMP_00244,Meesho,Home/Kitchen,Return Rejected,,CONSISTENT,HIGH,REAL_COMPLAINT
CMP_00245,Flipkart,Electronics,Empty Box Delivery,WEIGHT_ANOMALY,CONFLICT,CRITICAL,REAL_COMPLAINT
CMP_00246,JioMart,Apparel/Clothing,Damaged Product,WEIGHT_ANOMALY,CONFLICT,MEDIUM,REAL_COMPLAINT
CMP_00247,Ajio,Apparel/Clothing,Pickup Failure,TEMPORAL_CONFLICT,CONFLICT,MEDIUM,REAL_COMPLAINT
CMP_00248,JioMart,Other/Unspecified,Delivery Failure,,CONSISTENT,HIGH,REAL_COMPLAINT
CMP_00249,Snapdeal,Apparel/Clothing,Wrong Product,IDENTITY_CONFLICT,CONFLICT,HIGH,REAL_COMPLAINT
CMP_00250,Nykaa,Footwear,Damaged Product,WEIGHT_ANOMALY,CONFLICT,HIGH,REAL_COMPLAINT
CMP_00251,Meesho,Footwear,Empty Box Delivery,WEIGHT_ANOMALY,CONFLICT,CRITICAL,REAL_COMPLAINT
CMP_00252,Shopify,Apparel/Clothing,Seller Fraud,,CONSISTENT,CRITICAL,REAL_COMPLAINT
CMP_00253,Myntra,Footwear,Used Product,IDENTITY_CONFLICT,CONFLICT,HIGH,REAL_COMPLAINT
CMP_00254,Myntra,Electronics,Customer Support,,CONSISTENT,MEDIUM,REAL_COMPLAINT
CMP_00255,D2C Brand,Apparel/Clothing,Refund Delay,,CONSISTENT,HIGH,REAL_COMPLAINT
CMP_00256,Myntra,Apparel/Clothing,Return Rejected,,CONSISTENT,HIGH,REAL_COMPLAINT
CMP_00257,Shopify,Accessories,Seller Fraud,,CONSISTENT,CRITICAL,REAL_COMPLAINT
CMP_00258,Ajio,Apparel/Clothing,Pickup Failure,TEMPORAL_CONFLICT,CONFLICT,MEDIUM,REAL_COMPLAINT
CMP_00259,Meesho,Apparel/Clothing,Used Product,IDENTITY_CONFLICT,CONFLICT,HIGH,REAL_COMPLAINT
CMP_00260,Shopify,Other/Unspecified,Lost Package,,CONSISTENT,CRITICAL,REAL_COMPLAINT
CMP_00261,D2C Brand,Apparel/Clothing,Refund Delay,,CONSISTENT,HIGH,REAL_COMPLAINT
CMP_00262,Amazon,Other/Unspecified,COD Scam,,CONSISTENT,CRITICAL,REAL_COMPLAINT
CMP_00263,Meesho,Footwear,Empty Box Delivery,WEIGHT_ANOMALY,CONFLICT,CRITICAL,REAL_COMPLAINT
CMP_00264,Shopify,Accessories,Seller Fraud,,CONSISTENT,CRITICAL,REAL_COMPLAINT
CMP_00265,JioMart,Electronics,Counterfeit Product,IDENTITY_CONFLICT,CONFLICT,CRITICAL,REAL_COMPLAINT
CMP_00266,Snapdeal,Apparel/Clothing,Wrong Product,IDENTITY_CONFLICT,CONFLICT,HIGH,REAL_COMPLAINT
CMP_00267,Flipkart,Footwear,Replacement Rejected,IDENTITY_CONFLICT,CONFLICT,HIGH,REAL_COMPLAINT
CMP_00268,Flipkart,Other/Unspecified,Price Mismatch,,CONSISTENT,HIGH,REAL_COMPLAINT
CMP_00269,Flipkart,Apparel/Clothing,Counterfeit Product,IDENTITY_CONFLICT,CONFLICT,CRITICAL,REAL_COMPLAINT
CMP_00270,Snapdeal,Electronics,Warehouse Issue,,CONSISTENT,HIGH,REAL_COMPLAINT
CMP_00271,Amazon,Apparel/Clothing,Refund Delay,,CONSISTENT,HIGH,REAL_COMPLAINT
