Paper,Problem,Solution,Contribution,Limitation,Research Gap,TriNetra Opportunity
[2012] Online dispute resolution: an artificial intelligence perspective,"Litigation in court is still the main dispute resolution mode. However, given the amount and characteristics of the new disputes, mostly arising out of electronic contracting, courts are becoming slower and outdated. Online Dispute Resolution (ODR) recently emerged as a set of tools and techniques, supported by technology, aimed at facilitating conflict resolution.",this paper we present a critical evaluation on the use of Artificial Intelligence (AI) based techniques in ODR.,this paper we present a critical evaluation on the use of Artificial Intelligence (AI) based techniques in ODR.,"however, given the amount and characteristics of the new disputes, mostly arising out of electronic contracting, courts are becoming slower and outdated.","Does not provide an end-to-end evidence-driven, explainable dispute resolution platform.","TriNetra bridges this gap via does not provide an end-to-end evidence-driven, explainable dispute resolution platform."
[2016] ONLINE DISPUTE RESOLUTION (ODR): PROSPEK PENYELESAIAN SENGKETA E-COMMERCE DI INDONESIA,"When Alternative Dispute Resolution (ADR) are combined with ICT, the result is Online Dispute Resolution (ODR). Key Words: e-commerce, online dispute resolution, dispute",Provides theoretical and empirical insights on ONLINE DISPUTE RESOLUTION (ODR): PROSPEK PENYELESAIAN SENGKETA E-COMMERCE DI IND.,Provides theoretical and empirical insights on ONLINE DISPUTE RESOLUTION (ODR): PROSPEK PENYELESAIAN SENGKETA E-COMMERCE DI IND.,Static analysis lacking automated real-time multi-stakeholder evidence cross-verification.,"Does not provide an end-to-end evidence-driven, explainable dispute resolution platform.","TriNetra bridges this gap via does not provide an end-to-end evidence-driven, explainable dispute resolution platform."
[2021] Online dispute resolution in e-commerce: is consensus in regulation UNCITRAL’s utopian idea or a realistic ambition?,The rigorous deliberations of the United Nations Commission on International Trade Law to create a global regulatory framework for Online Dispute Resolution have failed to generate a consensus.,This paper analyses whether UNCITRAL’s ambition to develop an inclusive ODR regulatory platform has considered the complexities of cutting across cultural boundaries and power (im)balances.,This paper analyses whether UNCITRAL’s ambition to develop an inclusive ODR regulatory platform has considered the complexities of cutting across cultural boundaries and power (im)balances.,"Static framework lacking real-time evidence orchestration, automated cross-verification, and dynamic multi-stakeholder trust scoring.","Examines consumer trust conceptually without providing an automated, transparent evidence verification engine for dispute resolution.","TriNetra bridges this gap via examines consumer trust conceptually without providing an automated, transparent evidence verification engine for dispute resolution."
[2021] New insights in online fashion retail returns from a customers’ perspective and their dynamics,"Abstract Returns are an inconvenient problem in the mail-order business, not only for the merchant but also for the customer.",Provides theoretical and empirical insights on New insights in online fashion retail returns from a customers’ perspective and .,Provides theoretical and empirical insights on New insights in online fashion retail returns from a customers’ perspective and .,"Relies on self-reported consumer survey data, which is susceptible to response bias and lacks real-time transaction verification.","Optimizes reverse logistics infrastructure but fails to address return fraud detection, evidence verification, and consumer trust preservation.","TriNetra bridges this gap via optimizes reverse logistics infrastructure but fails to address return fraud detection, evidence verification, and consumer trust preservation."
[2001] Electronically-Mediated Dispute Resolution and E-Commerce,"The presence of readily available, on-line dispute resolution services can send a reassuring signal to consumers that allays their fears and encourages them to do business on-line. However, on-line dispute resolution systems designed to address disputes arising from e-commerce transactions rely on a communication medium that is impoverished, which can lead to lower trust in the process, and to the escalation of negative emotion and negative attributions about the other participants in the dispute resolution process, making successful resolution of the dispute more difficult. However, facilitating acceptance of on-line dispute resolution decisions may be more difficult than in a traditional face-to-face environment because of the absence of cues that communicate the trustworthiness and neutrality of the third party, as well as acknowledgment of the societal standing of the disputant.",Provides theoretical and empirical insights on Electronically-Mediated Dispute Resolution and E-Commerce.,Provides theoretical and empirical insights on Electronically-Mediated Dispute Resolution and E-Commerce.,Static analysis lacking automated real-time multi-stakeholder evidence cross-verification.,"Examines consumer trust conceptually without providing an automated, transparent evidence verification engine for dispute resolution.","TriNetra bridges this gap via examines consumer trust conceptually without providing an automated, transparent evidence verification engine for dispute resolution."
[2010] Online Dispute Resolution for Consumers in the European Union,"E-commerce offers immense challenges to traditional dispute resolution methods, as it entails parties often located in different parts of the world making contracts with each other at the click of a mouse. Thus modern legal systems face a crucial choice: either to adopt traditional dispute resolution methods that have served the legal systems well for hundreds of years or to find new methods which are better suited to a world not anchored in territorial borders. Online Dispute Resolution (ODR), originally an off-shoot of Alternative Dispute Resolution (ADR), takes advantage of the speed and convenience of the Internet, becoming the best, and often the only option for enhancing consumer redress and strengthening their trust in e-commerce.",Provides theoretical and empirical insights on Online Dispute Resolution for Consumers in the European Union.,Provides theoretical and empirical insights on Online Dispute Resolution for Consumers in the European Union.,Static analysis lacking automated real-time multi-stakeholder evidence cross-verification.,"Examines consumer trust conceptually without providing an automated, transparent evidence verification engine for dispute resolution.","TriNetra bridges this gap via examines consumer trust conceptually without providing an automated, transparent evidence verification engine for dispute resolution."
[2001] AN EXAMINATION OF REVERSE LOGISTICS PRACTICES,nan,"this paper, reverse logistics activities and key reverse logistics management methodologies are discussed, as well as their benefits and the barriers to successful implementation.","this paper, reverse logistics activities and key reverse logistics management methodologies are discussed, as well as their benefits and the barriers to successful implementation.",Static analysis lacking automated real-time multi-stakeholder evidence cross-verification.,"Optimizes reverse logistics infrastructure but fails to address return fraud detection, evidence verification, and consumer trust preservation.","TriNetra bridges this gap via optimizes reverse logistics infrastructure but fails to address return fraud detection, evidence verification, and consumer trust preservation."
[2000] Developing a Theory of Reverse Logistics,nan,Provides theoretical and empirical insights on Developing a Theory of Reverse Logistics.,Provides theoretical and empirical insights on Developing a Theory of Reverse Logistics.,Static analysis lacking automated real-time multi-stakeholder evidence cross-verification.,"Optimizes reverse logistics infrastructure but fails to address return fraud detection, evidence verification, and consumer trust preservation.","TriNetra bridges this gap via optimizes reverse logistics infrastructure but fails to address return fraud detection, evidence verification, and consumer trust preservation."
[2010] Reverse logistics and social sustainability,This paper focuses on addressing this gap in the literature by linking various sustainable indicators with various reverse logistics practices to develop a profile of reverse logistics for social sustainability.,This paper focuses on addressing this gap in the literature by linking various sustainable indicators with various reverse logistics practices to develop a profile of reverse logistics for social sustainability.,This paper focuses on addressing this gap in the literature by linking various sustainable indicators with various reverse logistics practices to develop a profile of reverse logistics for social sustainability.,Static analysis lacking automated real-time multi-stakeholder evidence cross-verification.,"Optimizes reverse logistics infrastructure but fails to address return fraud detection, evidence verification, and consumer trust preservation.","TriNetra bridges this gap via optimizes reverse logistics infrastructure but fails to address return fraud detection, evidence verification, and consumer trust preservation."
[1995] Returnable containers: an example of reverse logistics,Considers the application of returnable containers as an example of reverse logistics.,Provides theoretical and empirical insights on Returnable containers: an example of reverse logistics.,Provides theoretical and empirical insights on Returnable containers: an example of reverse logistics.,Limited to single-firm or regional case study data; generalizability across diverse e-commerce marketplaces remains unverified.,"Optimizes reverse logistics infrastructure but fails to address return fraud detection, evidence verification, and consumer trust preservation.","TriNetra bridges this gap via optimizes reverse logistics infrastructure but fails to address return fraud detection, evidence verification, and consumer trust preservation."
[2002] Differences between forward and reverse logistics in a retail environment,nan,"This paper compares and contrasts forward and reverse logistics in a retail environment, with the focus on the reverse flow of product.","This paper compares and contrasts forward and reverse logistics in a retail environment, with the focus on the reverse flow of product.",Static analysis lacking automated real-time multi-stakeholder evidence cross-verification.,"Optimizes reverse logistics infrastructure but fails to address return fraud detection, evidence verification, and consumer trust preservation.","TriNetra bridges this gap via optimizes reverse logistics infrastructure but fails to address return fraud detection, evidence verification, and consumer trust preservation."
[2001] A Trust Model for Consumer Internet Shopping,"E-commerce success, especially in the business-to-consumer area, is determined in part by whether consumers trust sellers and products they cannot see or touch, and electronic systems with which they have no previous experience.",Provides theoretical and empirical insights on A Trust Model for Consumer Internet Shopping.,Provides theoretical and empirical insights on A Trust Model for Consumer Internet Shopping.,Static analysis lacking automated real-time multi-stakeholder evidence cross-verification.,"Examines consumer trust conceptually without providing an automated, transparent evidence verification engine for dispute resolution.","TriNetra bridges this gap via examines consumer trust conceptually without providing an automated, transparent evidence verification engine for dispute resolution."
[2006] Characteristics of the research on reverse logistics (1995–2005),"This paper aims to describe and analyse the main characteristics of articles on reverse logistics published in the production and operations management field, in order to determine the evolution of this current research over recent years and improve our understanding of this issue.","This paper aims to describe and analyse the main characteristics of articles on reverse logistics published in the production and operations management field, in order to determine the evolution of this current research over recent years and improve our understanding of this issue.","This paper aims to describe and analyse the main characteristics of articles on reverse logistics published in the production and operations management field, in order to determine the evolution of this current research over recent years and improve our understanding of this issue.",Static analysis lacking automated real-time multi-stakeholder evidence cross-verification.,"Optimizes reverse logistics infrastructure but fails to address return fraud detection, evidence verification, and consumer trust preservation.","TriNetra bridges this gap via optimizes reverse logistics infrastructure but fails to address return fraud detection, evidence verification, and consumer trust preservation."
[2026] ONLINE DISPUTE RESOLUTION: POST-PANDEMIC EFFECTIVENESS AND EQUITY ISSUES -A COMPARATIVE ANALYSIS,"The COVID-19 pandemic accelerated the adoption of Online Dispute Resolution (ODR), transforming it from a peripheral mechanism into a central feature of judicial and commercial dispute settlement. Findings reveal that while ODR enhances efficiency, reduces costs, and strengthens cross-border dispute resolution, it risks deepening systemic inequalities if issues of digital literacy, access, and procedural fairness are not addressed.","This paper offers a comparative analysis of the effectiveness and equity issues of ODR in the post-pandemic era, focusing on India, the United Kingdom, Canada, Brazil, and the United States, while also situating developments within UNCITRAL's global standard-setting efforts.","This paper offers a comparative analysis of the effectiveness and equity issues of ODR in the post-pandemic era, focusing on India, the United Kingdom, Canada, Brazil, and the United States, while also situating developments within UNCITRAL's global standard-setting efforts.","Static framework lacking real-time evidence orchestration, automated cross-verification, and dynamic multi-stakeholder trust scoring.","Does not provide an end-to-end evidence-driven, explainable dispute resolution platform.","TriNetra bridges this gap via does not provide an end-to-end evidence-driven, explainable dispute resolution platform."
[2011] Dispute Resolution Mechanisms in Electronic Commerce(Special Reference to Online Dispute Resolution Mechanism),"Different settlement mechanisms are discussed despite the fact that special concentration is given to the new 'Online Dispute Resolution' mechanism. Conclusion is drawn while making some recommendations to enhance the quality, efficiency and effectiveness of the dispute resolution mechanisms.",Provides theoretical and empirical insights on Dispute Resolution Mechanisms in Electronic Commerce(Special Reference to Online.,Provides theoretical and empirical insights on Dispute Resolution Mechanisms in Electronic Commerce(Special Reference to Online.,Static analysis lacking automated real-time multi-stakeholder evidence cross-verification.,"Does not provide an end-to-end evidence-driven, explainable dispute resolution platform.","TriNetra bridges this gap via does not provide an end-to-end evidence-driven, explainable dispute resolution platform."
[2023] First Resort: Alternative Dispute Resolution for Breach of Verbal Purchase Agreements,"30 of 1999 on Arbitration and Alternative Dispute Resolution. The results of this study show that efforts to resolve disputes over breach of verbal purchase agreements can be carried out through non-litigation based on the selection of Alternative Dispute Resolution methods, such as Negotiation, Mediation, Conciliation, and Arbitration based on Law No. Non-litigation resolution is intended as the first resort and considers the court as a last resort, in addition, the evidence tools as regulated in Article 1866 of the Civil Code need to be presented because the agreement was made verbally.&#x0D; Highlights :&#x0D; &#x0D; Disputes over breach of verbal purchase agreements are common in the business sector.&#x0D; Alternative Dispute Resolution methods such as negotiation, mediation, conciliation, and arbitration can be used to resolve disputes based on Law No. 30 of 1999 on Arbitration and Alternative Dispute Resolution.&#x0D; Non-litigation resolution is the preferred approach, with the court being considered as a last resort, and evidence tools as regulated in Article 1866 of the Civil Code need to be presented for verbal agreements.&#x0D; &#x0D; Keywords: Alternative Dispute Resolution, Verbal Purchase Agreements, Non-litigation, Law No.",this study is to analyze efforts to resolve such disputes based on Law No.,this study is to analyze efforts to resolve such disputes based on Law No.,Static analysis lacking automated real-time multi-stakeholder evidence cross-verification.,"Does not provide an end-to-end evidence-driven, explainable dispute resolution platform.","TriNetra bridges this gap via does not provide an end-to-end evidence-driven, explainable dispute resolution platform."
[2026] Online dispute resolution in Indonesian e-commerce: Arbitration law and shariah consumer protection,"This study aims to analyse the position of online dispute resolution (ODR) in Indonesian e-commerce from the perspective of arbitration law and assess its normative adequacy in light of the principles of shariah consumer protection. However, its legal and institutional status remains unsettled. This study enriches the discourse on digital dispute resolution by positioning ODR as both a legal and normative site of consumer justice.",This study aims to analyse the position of online dispute resolution (ODR) in Indonesian e-commerce from the perspective of arbitration law and assess its normative adequacy in light of the principles of shariah consumer protection.,This study aims to analyse the position of online dispute resolution (ODR) in Indonesian e-commerce from the perspective of arbitration law and assess its normative adequacy in light of the principles of shariah consumer protection.,"however, its legal and institutional status remains unsettled.","Does not provide an end-to-end evidence-driven, explainable dispute resolution platform.","TriNetra bridges this gap via does not provide an end-to-end evidence-driven, explainable dispute resolution platform."
[2025] DISPUTE RESOLUTION THROUGH ARBITRATION IN SALE AND PURCHASE AGREEMENT,Dispute resolution outside the court can be grouped into two forms: dispute resolution carried out by the parties themselves and dispute resolution involving a third party. Objections must be filed within 14 (fourteen) working days from the time the business actor or consumer receives notification of the Consumer Dispute Resolution Body's decision,Provides theoretical and empirical insights on DISPUTE RESOLUTION THROUGH ARBITRATION IN SALE AND PURCHASE AGREEMENT.,Provides theoretical and empirical insights on DISPUTE RESOLUTION THROUGH ARBITRATION IN SALE AND PURCHASE AGREEMENT.,Static analysis lacking automated real-time multi-stakeholder evidence cross-verification.,"Does not provide an end-to-end evidence-driven, explainable dispute resolution platform.","TriNetra bridges this gap via does not provide an end-to-end evidence-driven, explainable dispute resolution platform."
[2022] Quo Vadis Consumer Dispute Resolution? UK &amp; EU cross border consumer dispute resolution in the post Brexit landscape,"The United Kingdom’s exit from the European Union challenges the existing framework for cross border consumer dispute resolution and exacerbates the negative effect of the EU’s harmonisation approach in this area. This paper will analyse and evaluate key challenges to UK and EU consumer cross border dispute resolution after the transition period ended on 31 December 2020. Finally, the paper suggests that a Lugano+ approach would help to mitigate the impact of the impediments to effective consumer dispute resolution between EU and UK entities. In doing so, it first takes a preliminary look at the existing paradigm of cross border cooperation in consumer dispute resolution.",This paper will analyse and evaluate key challenges to UK and EU consumer cross border dispute resolution after the transition period ended on 31 December 2020.,This paper will analyse and evaluate key challenges to UK and EU consumer cross border dispute resolution after the transition period ended on 31 December 2020.,"Static framework lacking real-time evidence orchestration, automated cross-verification, and dynamic multi-stakeholder trust scoring.","Does not provide an end-to-end evidence-driven, explainable dispute resolution platform.","TriNetra bridges this gap via does not provide an end-to-end evidence-driven, explainable dispute resolution platform."
[2019] Universal standards for the concept of trust in online dispute resolution systems in e-commerce disputes,"Abstract The need for an appropriate jurisdiction for electronic commerce disputes has led to the well-established mechanism for solving disputes through the internet known as the Online Dispute Resolution (ODR). Currently, there is no universal agreement about the concept of trust in ODR systems, although this issue has been widely discussed in the field of Alternative Dispute Resolution (ADR).","this study, we have adopted a new approach in the ODR field, and no similar research has been conducted.","this study, we have adopted a new approach in the ODR field, and no similar research has been conducted.","Relies on self-reported consumer survey data, which is susceptible to response bias and lacks real-time transaction verification.","Examines consumer trust conceptually without providing an automated, transparent evidence verification engine for dispute resolution.","TriNetra bridges this gap via examines consumer trust conceptually without providing an automated, transparent evidence verification engine for dispute resolution."
[2021] Fresh food online shopping repurchase intention: the role of post-purchase customer experience and corporate image,nan,this study is to investigate consumers' post–purchase experience when buying fresh food online.,this study is to investigate consumers' post–purchase experience when buying fresh food online.,"Relies on self-reported consumer survey data, which is susceptible to response bias and lacks real-time transaction verification.","Does not provide an end-to-end evidence-driven, explainable dispute resolution platform.","TriNetra bridges this gap via does not provide an end-to-end evidence-driven, explainable dispute resolution platform."
[2024] 5GARderobe: A Scalable Real-Time Virtual Wardrobe &amp; E-Commerce Solution,"This research addresses the pervasive issue of size-related returns in online fashion shopping by implementing effective technical solutions in online fashion retail. Despite challenges, the virtual wardrobe system shows promise in revolutionizing the online fashion shopping experience, reducing size-related returns, and enhancing overall efficiency and satisfaction in online retail.",Provides theoretical and empirical insights on 5GARderobe: A Scalable Real-Time Virtual Wardrobe &amp; E-Commerce Solution.,Provides theoretical and empirical insights on 5GARderobe: A Scalable Real-Time Virtual Wardrobe &amp; E-Commerce Solution.,Static analysis lacking automated real-time multi-stakeholder evidence cross-verification.,"Optimizes reverse logistics infrastructure but fails to address return fraud detection, evidence verification, and consumer trust preservation.","TriNetra bridges this gap via optimizes reverse logistics infrastructure but fails to address return fraud detection, evidence verification, and consumer trust preservation."
[2021] Toward a conceptualization of personalized services in apparel e-commerce fulfillment,nan,Provides theoretical and empirical insights on Toward a conceptualization of personalized services in apparel e-commerce fulfil.,Provides theoretical and empirical insights on Toward a conceptualization of personalized services in apparel e-commerce fulfil.,"Static framework lacking real-time evidence orchestration, automated cross-verification, and dynamic multi-stakeholder trust scoring.","Does not provide an end-to-end evidence-driven, explainable dispute resolution platform.","TriNetra bridges this gap via does not provide an end-to-end evidence-driven, explainable dispute resolution platform."
[2011] Let's Work It Out (or We'll See You in Court): Litigation and Private Dispute Resolution in Vertical Exchange Relationships,"Reaching beyond the usual domain of organizational and management research, we leverage findings from law and economics to offer a novel organizational perspective on litigation and private dispute resolution, and we develop hypotheses about the likelihood of litigation in different exchange settings. These findings are suggestive of a “discriminating alignment” between exchange characteristics and the choice of dispute resolution procedure, and they thus inject important new evidence into ongoing discussions about the legal underpinnings of different governance forms.",Provides theoretical and empirical insights on Let's Work It Out (or We'll See You in Court): Litigation and Private Dispute Re.,Provides theoretical and empirical insights on Let's Work It Out (or We'll See You in Court): Litigation and Private Dispute Re.,Static analysis lacking automated real-time multi-stakeholder evidence cross-verification.,"Does not provide an end-to-end evidence-driven, explainable dispute resolution platform.","TriNetra bridges this gap via does not provide an end-to-end evidence-driven, explainable dispute resolution platform."
[2023] Improving Dispute Resolution in Two-Sided Platforms: The Case of Review Blackmail,"We study the relative merits of different dispute resolution mechanisms in two-sided platforms in the context of disputes involving malicious reviews and blackmail. Without a dispute resolution mechanism in place, the presence of malicious consumers in the market can lead to a significant decrease in seller profit, especially in settings characterized by high uncertainty about product quality. The introduction of a standard centralized dispute resolution mechanism (whereby the seller can report allegedly malicious reviews to the host platform, which then judges whether to remove the review) can restore efficiency to some extent but requires the platform’s judgments to be both very quick and highly accurate. Our results suggest that decentralization, when implemented correctly, may represent a more efficient approach to dispute resolution.","This paper was accepted by Victor Martínez-de-Albéniz, operations management.","This paper was accepted by Victor Martínez-de-Albéniz, operations management.",Static analysis lacking automated real-time multi-stakeholder evidence cross-verification.,"Does not provide an end-to-end evidence-driven, explainable dispute resolution platform.","TriNetra bridges this gap via does not provide an end-to-end evidence-driven, explainable dispute resolution platform."
"[2015] Courts, Clans and Companies: Mobile Money and Dispute Resolution in Somaliland","This article focuses on a case study from Somaliland (the northern, self-declared independent region of Somalia) and examines Zaad, the dominant mobile money platform.","Provides theoretical and empirical insights on Courts, Clans and Companies: Mobile Money and Dispute Resolution in Somaliland.","Provides theoretical and empirical insights on Courts, Clans and Companies: Mobile Money and Dispute Resolution in Somaliland.",Limited to single-firm or regional case study data; generalizability across diverse e-commerce marketplaces remains unverified.,"Examines consumer trust conceptually without providing an automated, transparent evidence verification engine for dispute resolution.","TriNetra bridges this gap via examines consumer trust conceptually without providing an automated, transparent evidence verification engine for dispute resolution."
[1995] An Introduction to Alternative Dispute Resolution,"The author begins with a brief overview of the history and critical importance of alternative dispute resolution, or ADR.",Provides theoretical and empirical insights on An Introduction to Alternative Dispute Resolution.,Provides theoretical and empirical insights on An Introduction to Alternative Dispute Resolution.,"Relies on self-reported consumer survey data, which is susceptible to response bias and lacks real-time transaction verification.","Does not provide an end-to-end evidence-driven, explainable dispute resolution platform.","TriNetra bridges this gap via does not provide an end-to-end evidence-driven, explainable dispute resolution platform."
[1992] Reverse Logistics in Plastics Recycling,"Despite the public appeal and acceptance of recycling, the reverse logistics channels used in recycling have received minimal attention. However, the reverse channels′ membership and capabilities have a significant impact on the efficiency of processing recyclable material for remanufacture into recycled products.",Provides theoretical and empirical insights on Reverse Logistics in Plastics Recycling.,Provides theoretical and empirical insights on Reverse Logistics in Plastics Recycling.,"however, the reverse channels′ membership and capabilities have a significant impact on the efficiency of processing recyclable material for remanufacture into recycled products.","Optimizes reverse logistics infrastructure but fails to address return fraud detection, evidence verification, and consumer trust preservation.","TriNetra bridges this gap via optimizes reverse logistics infrastructure but fails to address return fraud detection, evidence verification, and consumer trust preservation."
[2017] Dispute Resolution in Transnational Securities Transactions,"This book explores the transnational legal infrastructure for dispute resolution in transnational securities transactions. It discusses the role of law and dispute resolution in securities transactions, the types of disputes arising from them, and the institutional and legal aspects of dispute resolution, both generally and regarding aggregate litigation. It illustrates different dispute resolution systems and aggregate litigation methods, and examines the legal issues of dispute resolution arising from transnational securities transactions. In addition, the book proposes two systems of dispute resolution for transnational securities transactions depending on the type of dispute: collective redress through arbitration and a network of alternative dispute resolution systems.",Provides theoretical and empirical insights on Dispute Resolution in Transnational Securities Transactions.,Provides theoretical and empirical insights on Dispute Resolution in Transnational Securities Transactions.,Static analysis lacking automated real-time multi-stakeholder evidence cross-verification.,"Does not provide an end-to-end evidence-driven, explainable dispute resolution platform.","TriNetra bridges this gap via does not provide an end-to-end evidence-driven, explainable dispute resolution platform."
[2018] The Value of Fit Information in Online Retail: Evidence from a Randomized Field Experiment,nan,"results show that offering virtual fit information increases conversion rates and order value, and reduces fulfillment costs arising from returns and home try-on behavior, that is, customers ordering multiple sizes of the same product.","results show that offering virtual fit information increases conversion rates and order value, and reduces fulfillment costs arising from returns and home try-on behavior, that is, customers ordering multiple sizes of the same product.",Static analysis lacking automated real-time multi-stakeholder evidence cross-verification.,"Optimizes reverse logistics infrastructure but fails to address return fraud detection, evidence verification, and consumer trust preservation.","TriNetra bridges this gap via optimizes reverse logistics infrastructure but fails to address return fraud detection, evidence verification, and consumer trust preservation."
[2019] Explainable Recommendation through Attentive Multi-View Learning,nan,"this paper, we propose to alleviate the trade-off between accuracy and explainability by developing an explainable deep model that combines the advantages of deep learning-based models and existing explainable methods.","this paper, we propose to alleviate the trade-off between accuracy and explainability by developing an explainable deep model that combines the advantages of deep learning-based models and existing explainable methods.","Static framework lacking real-time evidence orchestration, automated cross-verification, and dynamic multi-stakeholder trust scoring.",Proposes generic explainability without tailoring explanations for multi-stakeholder e-commerce dispute resolution.,TriNetra bridges this gap via proposes generic explainability without tailoring explanations for multi-stakeholder e-commerce dispute resolution.
[2019] Reinforcement Knowledge Graph Reasoning for Explainable Recommendation,nan,"we propose a method called Policy-Guided Path Reasoning (PGPR), which couples recommendation and interpretability by providing actual paths in a knowledge graph.","we propose a method called Policy-Guided Path Reasoning (PGPR), which couples recommendation and interpretability by providing actual paths in a knowledge graph.",Static analysis lacking automated real-time multi-stakeholder evidence cross-verification.,"Does not provide an end-to-end evidence-driven, explainable dispute resolution platform.","TriNetra bridges this gap via does not provide an end-to-end evidence-driven, explainable dispute resolution platform."
[2020] Questioning the AI: Informing Design Practices for Explainable AI User Experiences,nan,Provides theoretical and empirical insights on Questioning the AI: Informing Design Practices for Explainable AI User Experienc.,Provides theoretical and empirical insights on Questioning the AI: Informing Design Practices for Explainable AI User Experienc.,Static analysis lacking automated real-time multi-stakeholder evidence cross-verification.,Proposes generic explainability without tailoring explanations for multi-stakeholder e-commerce dispute resolution.,TriNetra bridges this gap via proposes generic explainability without tailoring explanations for multi-stakeholder e-commerce dispute resolution.
[2018] From Machine Learning to Explainable AI,"However, such approaches have some disadvantages besides of needing big quality data, much computational power and engineering effort; those approaches are becoming increasingly opaque, and even if we understand the underlying mathematical principles of such models they still lack explicit declarative knowledge.",Provides theoretical and empirical insights on From Machine Learning to Explainable AI.,Provides theoretical and empirical insights on From Machine Learning to Explainable AI.,Static analysis lacking automated real-time multi-stakeholder evidence cross-verification.,Proposes generic explainability without tailoring explanations for multi-stakeholder e-commerce dispute resolution.,TriNetra bridges this gap via proposes generic explainability without tailoring explanations for multi-stakeholder e-commerce dispute resolution.
[2020] Fairness-Aware Explainable Recommendation over Knowledge Graphs,nan,"this paper, we analyze different groups of users according to their level of activity, and find that bias exists in recommendation performance between different groups.","this paper, we analyze different groups of users according to their level of activity, and find that bias exists in recommendation performance between different groups.",Static analysis lacking automated real-time multi-stakeholder evidence cross-verification.,Proposes generic explainability without tailoring explanations for multi-stakeholder e-commerce dispute resolution.,TriNetra bridges this gap via proposes generic explainability without tailoring explanations for multi-stakeholder e-commerce dispute resolution.
[2021] Temporal Meta-path Guided Explainable Recommendation,nan,Provides theoretical and empirical insights on Temporal Meta-path Guided Explainable Recommendation.,Provides theoretical and empirical insights on Temporal Meta-path Guided Explainable Recommendation.,"Static framework lacking real-time evidence orchestration, automated cross-verification, and dynamic multi-stakeholder trust scoring.",Proposes generic explainability without tailoring explanations for multi-stakeholder e-commerce dispute resolution.,TriNetra bridges this gap via proposes generic explainability without tailoring explanations for multi-stakeholder e-commerce dispute resolution.
[2016] Comment based Seller Trust model for E-commerce,nan,Provides theoretical and empirical insights on Comment based Seller Trust model for E-commerce.,Provides theoretical and empirical insights on Comment based Seller Trust model for E-commerce.,Static analysis lacking automated real-time multi-stakeholder evidence cross-verification.,"Examines consumer trust conceptually without providing an automated, transparent evidence verification engine for dispute resolution.","TriNetra bridges this gap via examines consumer trust conceptually without providing an automated, transparent evidence verification engine for dispute resolution."
[2020] Explainable AI in Fintech Risk Management,nan,Provides theoretical and empirical insights on Explainable AI in Fintech Risk Management.,Provides theoretical and empirical insights on Explainable AI in Fintech Risk Management.,Static analysis lacking automated real-time multi-stakeholder evidence cross-verification.,Proposes generic explainability without tailoring explanations for multi-stakeholder e-commerce dispute resolution.,TriNetra bridges this gap via proposes generic explainability without tailoring explanations for multi-stakeholder e-commerce dispute resolution.
[2022] Diabetes prediction using machine learning and explainable AI techniques,nan,"this paper, an automatic diabetes prediction system has been developed using a private dataset of female patients in Bangladesh and various machine learning techniques.","this paper, an automatic diabetes prediction system has been developed using a private dataset of female patients in Bangladesh and various machine learning techniques.","Static framework lacking real-time evidence orchestration, automated cross-verification, and dynamic multi-stakeholder trust scoring.",Proposes generic explainability without tailoring explanations for multi-stakeholder e-commerce dispute resolution.,TriNetra bridges this gap via proposes generic explainability without tailoring explanations for multi-stakeholder e-commerce dispute resolution.
[2021] Counterfactual Explainable Recommendation,"By providing explanations for users and system designers to facilitate better understanding and decision making, explainable recommendation has been an important research problem.","this paper, we propose Counterfactual Explainable Recommendation (CountER), which takes the insights of counterfactual reasoning from causal inference for explainable recommendation.","this paper, we propose Counterfactual Explainable Recommendation (CountER), which takes the insights of counterfactual reasoning from causal inference for explainable recommendation.","Static framework lacking real-time evidence orchestration, automated cross-verification, and dynamic multi-stakeholder trust scoring.",Proposes generic explainability without tailoring explanations for multi-stakeholder e-commerce dispute resolution.,TriNetra bridges this gap via proposes generic explainability without tailoring explanations for multi-stakeholder e-commerce dispute resolution.
[2018] A Reinforcement Learning Framework for Explainable Recommendation,"Explainable recommendation, which provides explanations about why an item is recommended, has attracted increasing attention due to its ability in helping users make better decisions and increasing users' trust in the system.",Provides theoretical and empirical insights on A Reinforcement Learning Framework for Explainable Recommendation.,Provides theoretical and empirical insights on A Reinforcement Learning Framework for Explainable Recommendation.,"Static framework lacking real-time evidence orchestration, automated cross-verification, and dynamic multi-stakeholder trust scoring.","Examines consumer trust conceptually without providing an automated, transparent evidence verification engine for dispute resolution.","TriNetra bridges this gap via examines consumer trust conceptually without providing an automated, transparent evidence verification engine for dispute resolution."
[2022] KR-GCN: Knowledge-Aware Reasoning with Graph Convolution Network for Explainable Recommendation,"However, existing studies may suffer from two major challenges: error propagation and weak explainability.",we propose a novel method named K nowledge-aware R easoning with G raph C onvolution N etwork (KR-GCN).,we propose a novel method named K nowledge-aware R easoning with G raph C onvolution N etwork (KR-GCN).,"however, existing studies may suffer from two major challenges: error propagation and weak explainability.",Proposes generic explainability without tailoring explanations for multi-stakeholder e-commerce dispute resolution.,TriNetra bridges this gap via proposes generic explainability without tailoring explanations for multi-stakeholder e-commerce dispute resolution.
